ROA: 0.000000 | RF: 5.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 0.000000 | RF: 5.000000 | WF: 3.000000  | Promotion Inf: 3.395812 | Promotion Sup: 5.989532 
ROA: 0.000000 | RF: 5.000000 | WF: 4.000000  | Promotion Inf: 4.710912 | Promotion Sup: 7.636019 
ROA: 0.000000 | RF: 5.000000 | WF: 5.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 5.000000 | WF: 6.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 5.000000 | WF: 7.000000  | Promotion Inf: 5.875596 | Promotion Sup: 8.827271 
ROA: 0.000000 | RF: 5.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 5.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 0.000000 | RF: 6.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 6.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 6.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 0.000000 | RF: 6.000000 | WF: 3.000000  | Promotion Inf: 3.536817 | Promotion Sup: 5.909158 
ROA: 0.000000 | RF: 6.000000 | WF: 4.000000  | Promotion Inf: 4.732340 | Promotion Sup: 7.364188 
ROA: 0.000000 | RF: 6.000000 | WF: 5.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 0.000000 | RF: 6.000000 | WF: 6.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 0.000000 | RF: 6.000000 | WF: 7.000000  | Promotion Inf: 4.824629 | Promotion Sup: 7.637503 
ROA: 0.000000 | RF: 6.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 6.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 0.000000 | RF: 7.000000 | WF: 0.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 0.000000 | RF: 7.000000 | WF: 1.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 0.000000 | RF: 7.000000 | WF: 2.000000  | Promotion Inf: 1.254248 | Promotion Sup: 4.356122 
ROA: 0.000000 | RF: 7.000000 | WF: 3.000000  | Promotion Inf: 3.748063 | Promotion Sup: 5.785667 
ROA: 0.000000 | RF: 7.000000 | WF: 4.000000  | Promotion Inf: 4.301579 | Promotion Sup: 6.332781 
ROA: 0.000000 | RF: 7.000000 | WF: 5.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 0.000000 | RF: 7.000000 | WF: 6.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 0.000000 | RF: 7.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 0.000000 | RF: 7.000000 | WF: 8.000000  | Promotion Inf: 5.875596 | Promotion Sup: 8.827271 
ROA: 0.000000 | RF: 7.000000 | WF: 9.000000  | Promotion Inf: 7.505757 | Promotion Sup: 8.744262 
ROA: 0.000000 | RF: 8.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 8.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 8.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 0.000000 | RF: 8.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 0.000000 | RF: 8.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 0.000000 | RF: 8.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 0.000000 | RF: 8.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 0.000000 | RF: 8.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 0.000000 | RF: 8.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 8.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 0.000000 | RF: 9.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 9.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 0.000000 | RF: 9.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 0.000000 | RF: 9.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 0.000000 | RF: 9.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 0.000000 | RF: 9.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 0.000000 | RF: 9.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 0.000000 | RF: 9.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 0.000000 | RF: 9.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 0.000000 | RF: 9.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 0.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 0.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 0.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 0.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 1.000000 | RF: 0.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 1.000000 | RF: 0.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 1.000000 | RF: 0.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 1.000000 | RF: 0.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 0.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 0.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 1.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 1.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 1.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 1.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 1.000000 | RF: 1.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 1.000000 | RF: 1.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 1.000000 | RF: 1.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 1.000000 | RF: 1.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 1.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 1.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 2.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 2.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 2.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 2.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 1.000000 | RF: 2.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 1.000000 | RF: 2.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 1.000000 | RF: 2.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 1.000000 | RF: 2.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 2.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 2.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 3.000000 | WF: 0.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 1.000000 | RF: 3.000000 | WF: 1.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 1.000000 | RF: 3.000000 | WF: 2.000000  | Promotion Inf: 1.254248 | Promotion Sup: 4.356122 
ROA: 1.000000 | RF: 3.000000 | WF: 3.000000  | Promotion Inf: 3.748063 | Promotion Sup: 5.785667 
ROA: 1.000000 | RF: 3.000000 | WF: 4.000000  | Promotion Inf: 4.301579 | Promotion Sup: 6.332781 
ROA: 1.000000 | RF: 3.000000 | WF: 5.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 1.000000 | RF: 3.000000 | WF: 6.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 1.000000 | RF: 3.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 3.000000 | WF: 8.000000  | Promotion Inf: 5.875596 | Promotion Sup: 8.827271 
ROA: 1.000000 | RF: 3.000000 | WF: 9.000000  | Promotion Inf: 7.505757 | Promotion Sup: 8.744262 
ROA: 1.000000 | RF: 4.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 4.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 4.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 4.000000 | WF: 3.000000  | Promotion Inf: 3.536817 | Promotion Sup: 5.909158 
ROA: 1.000000 | RF: 4.000000 | WF: 4.000000  | Promotion Inf: 4.732340 | Promotion Sup: 7.364188 
ROA: 1.000000 | RF: 4.000000 | WF: 5.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 1.000000 | RF: 4.000000 | WF: 6.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 1.000000 | RF: 4.000000 | WF: 7.000000  | Promotion Inf: 4.824629 | Promotion Sup: 7.637503 
ROA: 1.000000 | RF: 4.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 4.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 5.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 5.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 5.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 5.000000 | WF: 3.000000  | Promotion Inf: 3.395812 | Promotion Sup: 5.989532 
ROA: 1.000000 | RF: 5.000000 | WF: 4.000000  | Promotion Inf: 4.710912 | Promotion Sup: 7.636019 
ROA: 1.000000 | RF: 5.000000 | WF: 5.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 5.000000 | WF: 6.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 5.000000 | WF: 7.000000  | Promotion Inf: 5.875596 | Promotion Sup: 8.827271 
ROA: 1.000000 | RF: 5.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 5.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 6.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 6.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 6.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 6.000000 | WF: 3.000000  | Promotion Inf: 3.536817 | Promotion Sup: 5.909158 
ROA: 1.000000 | RF: 6.000000 | WF: 4.000000  | Promotion Inf: 4.732340 | Promotion Sup: 7.364188 
ROA: 1.000000 | RF: 6.000000 | WF: 5.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 1.000000 | RF: 6.000000 | WF: 6.000000  | Promotion Inf: 5.023047 | Promotion Sup: 7.731415 
ROA: 1.000000 | RF: 6.000000 | WF: 7.000000  | Promotion Inf: 4.824629 | Promotion Sup: 7.637503 
ROA: 1.000000 | RF: 6.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 6.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 7.000000 | WF: 0.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 1.000000 | RF: 7.000000 | WF: 1.000000  | Promotion Inf: 1.255738 | Promotion Sup: 2.494243 
ROA: 1.000000 | RF: 7.000000 | WF: 2.000000  | Promotion Inf: 1.254248 | Promotion Sup: 4.356122 
ROA: 1.000000 | RF: 7.000000 | WF: 3.000000  | Promotion Inf: 3.748063 | Promotion Sup: 5.785667 
ROA: 1.000000 | RF: 7.000000 | WF: 4.000000  | Promotion Inf: 4.301579 | Promotion Sup: 6.332781 
ROA: 1.000000 | RF: 7.000000 | WF: 5.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 1.000000 | RF: 7.000000 | WF: 6.000000  | Promotion Inf: 4.518402 | Promotion Sup: 6.547793 
ROA: 1.000000 | RF: 7.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 7.000000 | WF: 8.000000  | Promotion Inf: 5.875596 | Promotion Sup: 8.827271 
ROA: 1.000000 | RF: 7.000000 | WF: 9.000000  | Promotion Inf: 7.505757 | Promotion Sup: 8.744262 
ROA: 1.000000 | RF: 8.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 8.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 8.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 8.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 1.000000 | RF: 8.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 1.000000 | RF: 8.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 1.000000 | RF: 8.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 1.000000 | RF: 8.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
ROA: 1.000000 | RF: 8.000000 | WF: 8.000000  | Promotion Inf: 6.095125 | Promotion Sup: 8.869943 
ROA: 1.000000 | RF: 8.000000 | WF: 9.000000  | Promotion Inf: 7.633613 | Promotion Sup: 8.795770 
ROA: 1.000000 | RF: 9.000000 | WF: 0.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 9.000000 | WF: 1.000000  | Promotion Inf: 1.204230 | Promotion Sup: 2.366387 
ROA: 1.000000 | RF: 9.000000 | WF: 2.000000  | Promotion Inf: 1.202711 | Promotion Sup: 4.122752 
ROA: 1.000000 | RF: 9.000000 | WF: 3.000000  | Promotion Inf: 3.079899 | Promotion Sup: 5.324954 
ROA: 1.000000 | RF: 9.000000 | WF: 4.000000  | Promotion Inf: 3.831077 | Promotion Sup: 5.857824 
ROA: 1.000000 | RF: 9.000000 | WF: 5.000000  | Promotion Inf: 4.035994 | Promotion Sup: 6.058116 
ROA: 1.000000 | RF: 9.000000 | WF: 6.000000  | Promotion Inf: 4.235012 | Promotion Sup: 6.254370 
ROA: 1.000000 | RF: 9.000000 | WF: 7.000000  | Promotion Inf: 4.781348 | Promotion Sup: 7.000723 
